"Country_Code","Income_Name","Region_Name","Income_Code","Region_Code"
"NCL","High income","East Asia & Pacific","H","EAP"
"NZL","High income","East Asia & Pacific","H","EAP"
"NIC","Lower middle income","Latin America & Caribbean","LM","LAC"
"NER","Low income","Sub-Saharan Africa","L","SAA"
"NGA","Lower middle income","Sub-Saharan Africa","LM","SAA"
"MNP","High income","East Asia & Pacific","H","EAP"
"NOR","High income","Europe & Central Asia","H","ECA"
"OMN","High income","Middle East & North Africa","H","MENA"
"PAK","Lower middle income","South Asia","LM","SA"
"PLW","High income","East Asia & Pacific","H","EAP"
"PAN","High income","Latin America & Caribbean","H","LAC"
"PNG","Lower middle income","East Asia & Pacific","LM","EAP"
"PRY","Upper middle income","Latin America & Caribbean","UM","LAC"
"PER","Upper middle income","Latin America & Caribbean","UM","LAC"
"PHL","Lower middle income","East Asia & Pacific","LM","EAP"
"POL","High income","Europe & Central Asia","H","ECA"
"PRT","High income","Europe & Central Asia","H","ECA"
"PRI","High income","Latin America & Caribbean","H","LAC"
"QAT","High income","Middle East & North Africa","H","MENA"
"ROU","Upper middle income","Europe & Central Asia","UM","ECA"
"RUS","Upper middle income","Europe & Central Asia","UM","ECA"
"RWA","Low income","Sub-Saharan Africa","L","SAA"
"WSM","Upper middle income","East Asia & Pacific","UM","EAP"
"SMR","High income","Europe & Central Asia","H","ECA"
"STP","Lower middle income","Sub-Saharan Africa","LM","SAA"
"SAU","High income","Middle East & North Africa","H","MENA"
"SEN","Low income","Sub-Saharan Africa","L","SAA"
"SYC","High income","Sub-Saharan Africa","H","SAA"
"SLE","Low income","Sub-Saharan Africa","L","SAA"
"SGP","High income","East Asia & Pacific","H","EAP"
"SVK","High income","Europe & Central Asia","H","ECA"
"SVN","High income","Europe & Central Asia","H","ECA"
"SLB","Lower middle income","East Asia & Pacific","LM","EAP"
"SOM","Low income","Sub-Saharan Africa","L","SAA"
"ZAF","Upper middle income","Sub-Saharan Africa","UM","SAA"
"ESP","High income","Europe & Central Asia","H","ECA"
"LKA","Lower middle income","South Asia","LM","SA"
"KNA","High income","Latin America & Caribbean","H","LAC"
"LCA","Upper middle income","Latin America & Caribbean","UM","LAC"
"VCT","Upper middle income","Latin America & Caribbean","UM","LAC"
"SDN","Lower middle income","Sub-Saharan Africa","LM","SAA"
"SUR","Upper middle income","Latin America & Caribbean","UM","LAC"
"SWE","High income","Europe & Central Asia","H","ECA"
"CHE","High income","Europe & Central Asia","H","ECA"
"SYR","Low income","Middle East & North Africa","L","MENA"
"TJK","Low income","Europe & Central Asia","L","ECA"
"TZA","Low income","Sub-Saharan Africa","L","SAA"
"THA","Upper middle income","East Asia & Pacific","UM","EAP"
"TLS","Lower middle income","East Asia & Pacific","LM","EAP"
"TGO","Low income","Sub-Saharan Africa","L","SAA"
"TON","Upper middle income","East Asia & Pacific","UM","EAP"
"TTO","High income","Latin America & Caribbean","H","LAC"
"TUN","Lower middle income","Middle East & North Africa","LM","MENA"
"TUR","Upper middle income","Europe & Central Asia","UM","ECA"
"TKM","Upper middle income","Europe & Central Asia","UM","ECA"
"TCA","High income","Latin America & Caribbean","H","LAC"
"TUV","Upper middle income","East Asia & Pacific","UM","EAP"
"UGA","Low income","Sub-Saharan Africa","L","SAA"
"UKR","Lower middle income","Europe & Central Asia","LM","ECA"
"ARE","High income","Middle East & North Africa","H","MENA"
"GBR","High income","Europe & Central Asia","H","ECA"
"USA","High income","North America","H","NA"
"URY","High income","Latin America & Caribbean","H","LAC"
"UZB","Lower middle income","Europe & Central Asia","LM","ECA"
"VUT","Lower middle income","East Asia & Pacific","LM","EAP"
"VEN","Upper middle income","Latin America & Caribbean","UM","LAC"
"VNM","Lower middle income","East Asia & Pacific","LM","EAP"
"VIR","High income","Latin America & Caribbean","H","LAC"
"PSE","Lower middle income","Middle East & North Africa","LM","MENA"
"YEM","Low income","Middle East & North Africa","L","MENA"
"ZMB","Lower middle income","Sub-Saharan Africa","LM","SAA"
"ZWE","Low income","Sub-Saharan Africa","L","SAA"
