Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]"
"Population, male","SP.POP.TOTL.MA.IN","IDA & IBRD total","IBT","1157965458","1442744606","1784411447","2178329334","2562309226"
"Population, male","SP.POP.TOTL.MA.IN","IDA blend","IDB","62856000","80609496","107147339","143373257","182866539"
"Population, male","SP.POP.TOTL.MA.IN","IDA only","IDX","128930596","166208503","213068201","278073508","361413639"
"Population, male","SP.POP.TOTL.MA.IN","IDA total","IDA","191786596","246817999","320215540","421446765","544280178"
"Population, male","SP.POP.TOTL.MA.IN","Late-demographic dividend","LTE","550573881","673101450","803987061","933135976","1032561076"
"Population, male","SP.POP.TOTL.MA.IN","Latin America & Caribbean","LCN","110076088","143426230","181001056","220969438","259893010"
"Population, male","SP.POP.TOTL.MA.IN","Latin America & Caribbean (excluding high income)","LAC","92080863","122370214","156651754","192874817","228143192"
"Population, male","SP.POP.TOTL.MA.IN","Latin America & the Caribbean (IDA & IBRD countries)","TLA","105001074","137335278","174089437","213521288","252030711"
"Population, male","SP.POP.TOTL.MA.IN","Least developed countries: UN classification","LDC","119991144","153546008","195631671","254357056","331434199"
"Population, male","SP.POP.TOTL.MA.IN","Low & middle income","LMY","1133980586","1416570250","1755802251","2147632912","2530336107"
"Population, male","SP.POP.TOTL.MA.IN","Low income","LIC","82021641","104287578","134523730","174463950","231134089"
"Population, male","SP.POP.TOTL.MA.IN","Lower middle income","LMC","473319707","597621074","756413061","956303040","1159410777"
"Population, male","SP.POP.TOTL.MA.IN","Middle East & North Africa","MEA","53401977","70441772","94726859","130730906","161734751"
"Population, male","SP.POP.TOTL.MA.IN","Middle East & North Africa (excluding high income)","MNA","49513287","64712713","84941311","115057762","141763285"
"Population, male","SP.POP.TOTL.MA.IN","Middle East & North Africa (IDA & IBRD countries)","TMN","49513287","64712713","84941311","114056611","140281842"
"Population, male","SP.POP.TOTL.MA.IN","Middle income","MIC","1051958945","1312282672","1621278521","1973168962","2299202018"
"Population, male","SP.POP.TOTL.MA.IN","North America","NAC","98560580","111667694","123650268","136090084","154213815"
"Population, male","SP.POP.TOTL.MA.IN","Not classified","INX","NA","NA","NA","NA","NA"
"Population, male","SP.POP.TOTL.MA.IN","OECD members","OED","387127417","439256206","486264553","526317235","570022745"
"Population, male","SP.POP.TOTL.MA.IN","Other small states","OSS","4452909","5417306","6696722","8704947","10454755"
"Population, male","SP.POP.TOTL.MA.IN","Pacific island small states","PSS","428434","567280","695316","824057","955535"
"Population, male","SP.POP.TOTL.MA.IN","Post-demographic dividend","PST","366925391","410112428","444363693","471379539","499750574"
"Population, male","SP.POP.TOTL.MA.IN","Pre-demographic dividend","PRE","93537963","119731144","159086672","207752435","276422767"
"Population, male","SP.POP.TOTL.MA.IN","Small states","SST","6872538","8335994","10058361","12454758","14593884"
"Population, male","SP.POP.TOTL.MA.IN","South Asia","SAS","295904193","368965153","465410184","585149033","716085442"
"Population, male","SP.POP.TOTL.MA.IN","South Asia (IDA & IBRD)","TSA","295904193","368965153","465410184","585149033","716085442"
"Population, male","SP.POP.TOTL.MA.IN","Sub-Saharan Africa","SSF","113231301","145355280","191926733","254666489","333556787"
"Population, male","SP.POP.TOTL.MA.IN","Sub-Saharan Africa (excluding high income)","SSA","113210889","145328426","191894802","254631820","333516376"
"Population, male","SP.POP.TOTL.MA.IN","Sub-Saharan Africa (IDA & IBRD countries)","TSS","113231301","145355280","191926733","254666489","333556787"
"Population, male","SP.POP.TOTL.MA.IN","Upper middle income","UMC","578639238","714661598","864865460","1016865922","1139791241"
"Population, male","SP.POP.TOTL.MA.IN","World","WLD","1515845307","1846639254","2228479846","2658048138","3079790511"
"Population, female","SP.POP.TOTL.FE.IN","Afghanistan","AFG","4346990","5451441","6511413","5981147","9746770"
"Population, female","SP.POP.TOTL.FE.IN","Albania","ALB","780595","1035954","1297791","1603298","1528046"
"Population, female","SP.POP.TOTL.FE.IN","Algeria","DZA","5527051","7235409","9592486","12795123","15380507"
"Population, female","SP.POP.TOTL.FE.IN","American Samoa","ASM","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Andorra","AND","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Angola","AGO","2900597","3475917","4566089","6220388","8407379"
"Population, female","SP.POP.TOTL.FE.IN","Antigua and Barbuda","ATG","29273","35041","37606","34446","44195"
"Population, female","SP.POP.TOTL.FE.IN","Argentina","ARG","10148066","11951008","14245108","16682535","18926129"
"Population, female","SP.POP.TOTL.FE.IN","Armenia","ARM","971118","1292908","1590545","1823350","1628670"
"Population, female","SP.POP.TOTL.FE.IN","Aruba","ABW","27637","30178","30805","31491","47012"
"Population, female","SP.POP.TOTL.FE.IN","Australia","AUS","5085024","6219473","7358464","8555626","9597994"
"Population, female","SP.POP.TOTL.FE.IN","Austria","AUT","3764742","3959731","3977201","4005232","4123171"
"Population, female","SP.POP.TOTL.FE.IN","Azerbaijan","AZE","2032178","2660114","3134440","3658511","4113396"
"Population, female","SP.POP.TOTL.FE.IN","Bahamas, The","BHS","57143","85467","106079","129174","152793"
"Population, female","SP.POP.TOTL.FE.IN","Bahrain","BHR","75466","97683","149533","209761","283388"
"Population, female","SP.POP.TOTL.FE.IN","Bangladesh","BGD","23287874","31703380","39922137","51917681","64436550"
"Population, female","SP.POP.TOTL.FE.IN","Barbados","BRB","127478","126597","132545","135055","140210"
"Population, female","SP.POP.TOTL.FE.IN","Belarus","BLR","4491893","4885284","5158781","5410634","5295397"
"Population, female","SP.POP.TOTL.FE.IN","Belgium","BEL","4649965","4922923","5040981","5090672","5231510"
"Population, female","SP.POP.TOTL.FE.IN","Belize","BLZ","46603","61499","71425","92981","122796"
"Population, female","SP.POP.TOTL.FE.IN","Benin","BEN","1274969","1511843","1921979","2554953","3483091"
"Population, female","SP.POP.TOTL.FE.IN","Bermuda","BMU","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Bhutan","BTN","109475","147017","197586","261196","280702"
"Population, female","SP.POP.TOTL.FE.IN","Bolivia","BOL","1863811","2262281","2794808","3419203","4158052"
"Population, female","SP.POP.TOTL.FE.IN","Bosnia and Herzegovina","BIH","1643268","1911607","2112781","2252932","1917111"
"Population, female","SP.POP.TOTL.FE.IN","Botswana","BWA","274486","363337","513569","700141","876336"
"Population, female","SP.POP.TOTL.FE.IN","Brazil","BRA","36255477","47832240","60916199","75286361","88664346"
"Population, female","SP.POP.TOTL.FE.IN","British Virgin Islands","VGB","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Brunei Darussalam","BRN","39563","62757","90827","122318","164490"
"Population, female","SP.POP.TOTL.FE.IN","Bulgaria","BGR","3939341","4245836","4447595","4421546","4188492"
"Population, female","SP.POP.TOTL.FE.IN","Burkina Faso","BFA","2371306","2824976","3477735","4505344","5906284"
"Population, female","SP.POP.TOTL.FE.IN","Burundi","BDI","1441218","1776554","2121047","2771894","3260004"
"Population, female","SP.POP.TOTL.FE.IN","Cabo Verde","CPV","107357","141464","153937","179637","225201"
"Population, female","SP.POP.TOTL.FE.IN","Cambodia","KHM","2866293","3514600","3543896","4639750","6246282"
"Population, female","SP.POP.TOTL.FE.IN","Cameroon","CMR","2631896","3306343","4351762","5897101","7660625"
"Population, female","SP.POP.TOTL.FE.IN","Canada","CAN","8851741","10632184","12344789","14009770","15527833"
"Population, female","SP.POP.TOTL.FE.IN","Cayman Islands","CYM","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Central African Republic","CAF","764143","930058","1159688","1496005","1907223"
"Population, female","SP.POP.TOTL.FE.IN","Chad","TCD","1534787","1858021","2285314","2999671","4187085"
"Population, female","SP.POP.TOTL.FE.IN","Channel Islands","CHI","56460","62214","66122","72274","76135"
"Population, female","SP.POP.TOTL.FE.IN","Chile","CHL","3919393","4860717","5719983","6709675","7716709"
"Population, female","SP.POP.TOTL.FE.IN","China","CHN","323230499","398313166","477657569","552714879","614199718"
"Population, female","SP.POP.TOTL.FE.IN","Colombia","COL","8294041","11081806","13926924","17250802","20423033"
"Population, female","SP.POP.TOTL.FE.IN","Comoros","COM","96045","115374","154060","205210","269505"
"Population, female","SP.POP.TOTL.FE.IN","Congo, Dem. Rep.","COD","7964764","10311897","13448004","17534177","23731839"
"Population, female","SP.POP.TOTL.FE.IN","Congo, Rep.","COG","522585","686398","923432","1223359","1615149"
"Population, female","SP.POP.TOTL.FE.IN","Costa Rica","CRI","655110","910713","1180926","1535525","1955051"
"Population, female","SP.POP.TOTL.FE.IN","Cote d'Ivoire","CIV","1741653","2536402","3972583","5898269","8076629"
"Population, female","SP.POP.TOTL.FE.IN","Croatia","HRV","2151882","2276579","2365716","2462427","2295252"
"Population, female","SP.POP.TOTL.FE.IN","Cuba","CUB","3492766","4284036","4858110","5250511","5556419"
"Population, female","SP.POP.TOTL.FE.IN","Curacao","CUW","62262","73492","75836","75631","71010"
"Population, female","SP.POP.TOTL.FE.IN","Cyprus","CYP","291265","310389","340278","377988","467862"
"Population, female","SP.POP.TOTL.FE.IN","Czech Republic","CZE","4932704","5087672","5308089","5317186","5266297"
"Population, female","SP.POP.TOTL.FE.IN","Denmark","DNK","2307409","2481117","2592761","2605214","2697501"
"Population, female","SP.POP.TOTL.FE.IN","Djibouti","DJI","42062","80170","177872","293436","356821"
"Population, female","SP.POP.TOTL.FE.IN","Dominica","DMA","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Dominican Republic","DOM","1626212","2228657","2881098","3569238","4271358"
"Population, female","SP.POP.TOTL.FE.IN","Ecuador","ECU","2273054","3024416","3966122","5083923","6297391"
"Population, female","SP.POP.TOTL.FE.IN","Egypt, Arab Rep.","EGY","13321995","17296817","21840225","28589773","34741729"
"Population, female","SP.POP.TOTL.FE.IN","El Salvador","SLV","1401150","1843661","2321734","2690089","3040179"
"Population, female","SP.POP.TOTL.FE.IN","Equatorial Guinea","GNQ","130244","154407","128970","215314","296261"
"Population, female","SP.POP.TOTL.FE.IN","Eritrea","ERI","703042","908760","1194887","1556459","1696516"
"Population, female","SP.POP.TOTL.FE.IN","Estonia","EST","676686","737883","793395","835376","745418"
"Population, female","SP.POP.TOTL.FE.IN","Eswatini","SWZ","180146","234157","316871","455612","550650"
"Population, female","SP.POP.TOTL.FE.IN","Ethiopia","ETH","11140491","14276227","17710325","24105411","33360672"
"Population, female","SP.POP.TOTL.FE.IN","Faroe Islands","FRO","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Fiji","FJI","190774","255805","313647","358545","399204"
"Population, female","SP.POP.TOTL.FE.IN","Finland","FIN","2296097","2381540","2468727","2566545","2649364"
"Population, female","SP.POP.TOTL.FE.IN","France","FRA","24044207","26463499","28061418","29781613","31049275"
"Population, female","SP.POP.TOTL.FE.IN","French Polynesia","PYF","37927","53937","72824","95296","115116"
"Population, female","SP.POP.TOTL.FE.IN","Gabon","GAB","255546","307452","375945","485829","620448"
"Population, female","SP.POP.TOTL.FE.IN","Gambia, The","GMB","186939","218407","304670","455234","619905"
"Population, female","SP.POP.TOTL.FE.IN","Georgia","GEO","1947169","2180475","2369381","2519102","2323800"
"Population, female","SP.POP.TOTL.FE.IN","Germany","DEU","38951020","41158943","40977371","41111976","42178635"
"Population, female","SP.POP.TOTL.FE.IN","Ghana","GHA","3272099","4218575","5312010","7194713","9373777"
"Population, female","SP.POP.TOTL.FE.IN","Gibraltar","GIB","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Greece","GRC","4247634","4469329","4869983","5140531","5433618"
"Population, female","SP.POP.TOTL.FE.IN","Greenland","GRL","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Grenada","GRD","48173","49753","46008","48771","51375"
"Population, female","SP.POP.TOTL.FE.IN","Guam","GUM","27694","37136","49838","60874","75899"
"Population, female","SP.POP.TOTL.FE.IN","Guatemala","GTM","2078828","2776736","3623984","4660633","5934006"
"Population, female","SP.POP.TOTL.FE.IN","Guinea","GIN","1807536","2138553","2287430","3053661","4422247"
"Population, female","SP.POP.TOTL.FE.IN","Guinea-Bissau","GNB","312197","360873","412065","518369","634946"
"Population, female","SP.POP.TOTL.FE.IN","Guyana","GUY","285362","351103","387441","376576","378786"
"Population, female","SP.POP.TOTL.FE.IN","Haiti","HTI","1968719","2390936","2891525","3600134","4327908"
"Population, female","SP.POP.TOTL.FE.IN","Honduras","HND","1015973","1362352","1850717","2494089","3280384"
"Population, female","SP.POP.TOTL.FE.IN","Hong Kong SAR, China","HKG","1494915","1940430","2421812","2808780","3389957"
"Population, female","SP.POP.TOTL.FE.IN","Hungary","HUN","5169965","5327223","5522377","5391796","5353114"
"Population, female","SP.POP.TOTL.FE.IN","Iceland","ISL","86862","101075","113134","126878","140483"
"Population, female","SP.POP.TOTL.FE.IN","India","IND","217551561","266949800","335911880","419781672","507537346"
"Population, female","SP.POP.TOTL.FE.IN","Indonesia","IDN","44155725","57588563","73809583","90320801","105672082"
"Population, female","SP.POP.TOTL.FE.IN","Iran, Islamic Rep.","IRN","10664289","13861537","18742842","27574577","32600982"
"Population, female","SP.POP.TOTL.FE.IN","Iraq","IRQ","3623131","4873132","6680939","8654737","11675700"
"Population, female","SP.POP.TOTL.FE.IN","Ireland","IRL","1405831","1472757","1698555","1764441","1912608"
"Population, female","SP.POP.TOTL.FE.IN","Isle of Man","IMN","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Israel","ISR","1042102","1473958","1941964","2334317","3189814"
"Population, female","SP.POP.TOTL.FE.IN","Italy","ITA","25781724","27587663","28989671","29133098","29314804"
"Population, female","SP.POP.TOTL.FE.IN","Jamaica","JAM","844500","959107","1094123","1228894","1336801"
"Population, female","SP.POP.TOTL.FE.IN","Japan","JPN","46968886","52912442","59128248","62656610","64552735"
"Population, female","SP.POP.TOTL.FE.IN","Jordan","JOR","444938","827456","1133772","1695282","2457924"
"Population, female","SP.POP.TOTL.FE.IN","Kazakhstan","KAZ","5037055","6612069","7511120","8411885","7723769"
"Population, female","SP.POP.TOTL.FE.IN","Kenya","KEN","4040370","5639596","8167708","11753271","15831345"
"Population, female","SP.POP.TOTL.FE.IN","Kiribati","KIR","20887","25886","30099","36591","42813"
"Population, female","SP.POP.TOTL.FE.IN","Korea, Dem. People’s Rep.","PRK","6145006","7597108","9077912","10433806","11751348"
"Population, female","SP.POP.TOTL.FE.IN","Korea, Rep.","KOR","12423219","16049457","19020941","21379777","23422063"
"Population, female","SP.POP.TOTL.FE.IN","Kosovo","XKX","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Kuwait","KWT","96466","325510","587278","906582","852236"
"Population, female","SP.POP.TOTL.FE.IN","Kyrgyz Republic","KGZ","1140195","1542510","1858659","2237570","2476441"
"Population, female","SP.POP.TOTL.FE.IN","Lao PDR","LAO","1078623","1361663","1639913","2128615","2672357"
"Population, female","SP.POP.TOTL.FE.IN","Latvia","LVA","1184927","1278970","1354227","1422321","1279609"
"Population, female","SP.POP.TOTL.FE.IN","Lebanon","LBN","897320","1137178","1313722","1369995","1630218"
"Population, female","SP.POP.TOTL.FE.IN","Lesotho","LSO","455326","555561","697436","829215","969395"
"Population, female","SP.POP.TOTL.FE.IN","Liberia","LBR","552199","707664","947252","1053222","1443101"
"Population, female","SP.POP.TOTL.FE.IN","Libya","LBY","705220","1033076","1533963","2097727","2575492"
"Population, female","SP.POP.TOTL.FE.IN","Liechtenstein","LIE","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Lithuania","LTU","1497644","1666952","1804307","1948034","1861632"
"Population, female","SP.POP.TOTL.FE.IN","Luxembourg","LUX","158903","172979","186393","195016","221417"
"Population, female","SP.POP.TOTL.FE.IN","Macao SAR, China","MAC","85336","119568","116099","174040","222972"
"Population, female","SP.POP.TOTL.FE.IN","Macedonia, FYR","MKD","735284","847760","949105","992131","1015479"
"Population, female","SP.POP.TOTL.FE.IN","Madagascar","MDG","2506566","3259080","4345801","5807510","7916321"
"Population, female","SP.POP.TOTL.FE.IN","Malawi","MWI","1866754","2365095","3144984","4799890","5765813"
"Population, female","SP.POP.TOTL.FE.IN","Malaysia","MYS","4004495","5328009","6822932","8861157","11373102"
"Population, female","SP.POP.TOTL.FE.IN","Maldives","MDV","40933","55922","75548","108778","138430"
"Population, female","SP.POP.TOTL.FE.IN","Mali","MLI","2602871","2971369","3558894","4285179","5527487"
"Population, female","SP.POP.TOTL.FE.IN","Malta","MLT","168487","156024","162365","179152","195708"
"Population, female","SP.POP.TOTL.FE.IN","Marshall Islands","MHL","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Mauritania","MRT","433102","577025","769806","1017947","1355233"
"Population, female","SP.POP.TOTL.FE.IN","Mauritius","MUS","330583","412740","489702","530783","598324"
"Population, female","SP.POP.TOTL.FE.IN","Mexico","MEX","19156559","26080967","34768819","42907164","51213051"
"Population, female","SP.POP.TOTL.FE.IN","Micronesia, Fed. Sts.","FSM","21596","29756","35669","47058","53050"
"Population, female","SP.POP.TOTL.FE.IN","Moldova","MDA","1353785","1620524","1790254","1934385","1897570"
"Population, female","SP.POP.TOTL.FE.IN","Monaco","MCO","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Mongolia","MNG","485662","648969","856418","1105890","1201825"
"Population, female","SP.POP.TOTL.FE.IN","Montenegro","MNE","246603","262208","291623","304455","306148"
"Population, female","SP.POP.TOTL.FE.IN","Morocco","MAR","6185595","8088208","10062073","12466123","14555639"
"Population, female","SP.POP.TOTL.FE.IN","Mozambique","MOZ","3778323","4681333","6053591","6920003","9401481"
"Population, female","SP.POP.TOTL.FE.IN","Myanmar","MMR","10732212","13524966","17074396","20744423","23575668"
"Population, female","SP.POP.TOTL.FE.IN","Namibia","NAM","305087","394937","519505","726026","970746"
"Population, female","SP.POP.TOTL.FE.IN","Nauru","NRU","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Nepal","NPL","5051327","6033613","7449177","9446026","11934587"
"Population, female","SP.POP.TOTL.FE.IN","Netherlands","NLD","5767220","6534376","7123632","7556295","8037107"
"Population, female","SP.POP.TOTL.FE.IN","New Caledonia","NCL","37356","53451","67737","83716","105247"
"Population, female","SP.POP.TOTL.FE.IN","New Zealand","NZL","1179951","1406305","1565640","1690913","1964351"
"Population, female","SP.POP.TOTL.FE.IN","Nicaragua","NIC","888968","1198881","1623157","2089164","2539707"
"Population, female","SP.POP.TOTL.FE.IN","Niger","NER","1792287","2327549","3043664","4101584","5718334"
"Population, female","SP.POP.TOTL.FE.IN","Nigeria","NGA","22607616","27987753","36531755","47341122","60667140"
"Population, female","SP.POP.TOTL.FE.IN","Northern Mariana Islands","MNP","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Norway","NOR","1797400","1948448","2061011","2144423","2266121"
"Population, female","SP.POP.TOTL.FE.IN","Oman","OMN","278460","368195","545991","803467","994740"
"Population, female","SP.POP.TOTL.FE.IN","Pakistan","PAK","20852045","27378288","37229067","51864231","67052144"
"Population, female","SP.POP.TOTL.FE.IN","Palau","PLW","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Panama","PAN","554685","746581","976230","1221992","1503316"
"Population, female","SP.POP.TOTL.FE.IN","Papua New Guinea","PNG","971012","1232972","1617735","2119592","2741051"
"Population, female","SP.POP.TOTL.FE.IN","Paraguay","PRY","965973","1239980","1576454","2084091","2619219"
"Population, female","SP.POP.TOTL.FE.IN","Peru","PER","5004721","6641178","8669527","10920797","12964040"
"Population, female","SP.POP.TOTL.FE.IN","Philippines","PHL","13050979","17690748","23421187","30654801","38711182"
"Population, female","SP.POP.TOTL.FE.IN","Poland","POL","15302149","16802991","18262624","19552674","19685018"
"Population, female","SP.POP.TOTL.FE.IN","Portugal","PRT","4619653","4558728","5066211","5173910","5324523"
"Population, female","SP.POP.TOTL.FE.IN","Puerto Rico","PRI","1192451","1386132","1645264","1824091","1976507"
"Population, female","SP.POP.TOTL.FE.IN","Qatar","QAT","20621","39619","82780","157422","205925"
"Population, female","SP.POP.TOTL.FE.IN","Romania","ROU","9417994","10303251","11272481","11763970","11463790"
"Population, female","SP.POP.TOTL.FE.IN","Russian Federation","RUS","66198094","70882259","74862692","78866031","77993457"
"Population, female","SP.POP.TOTL.FE.IN","Rwanda","RWA","1493819","1911663","2613256","3670994","4110741"
"Population, female","SP.POP.TOTL.FE.IN","Samoa","WSM","53498","70218","76005","77856","83682"
"Population, female","SP.POP.TOTL.FE.IN","San Marino","SMR","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Sao Tome and Principe","STP","28506","37037","48103","57495","69794"
"Population, female","SP.POP.TOTL.FE.IN","Saudi Arabia","SAU","2034341","2864805","4515652","7181854","9455087"
"Population, female","SP.POP.TOTL.FE.IN","Senegal","SEN","1613509","2114472","2791902","3794696","5019559"
"Population, female","SP.POP.TOTL.FE.IN","Serbia","SRB","NA","NA","NA","3841449","3827725"
"Population, female","SP.POP.TOTL.FE.IN","Seychelles","SYC","21288","26746","31330","34838","40720"
"Population, female","SP.POP.TOTL.FE.IN","Sierra Leone","SLE","1177362","1381238","1712582","2182675","2310946"
"Population, female","SP.POP.TOTL.FE.IN","Singapore","SGP","779081","1012420","1182585","1514107","2015669"
"Population, female","SP.POP.TOTL.FE.IN","Sint Maarten (Dutch part)","SXM","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Slovak Republic","SVK","2060059","2299648","2533042","2712638","2772140"
"Population, female","SP.POP.TOTL.FE.IN","Slovenia","SVN","825571","889996","984545","1028316","1017948"
"Population, female","SP.POP.TOTL.FE.IN","Solomon Islands","SLB","54627","76056","111399","151627","200523"
"Population, female","SP.POP.TOTL.FE.IN","Somalia","SOM","1392302","1741836","3116305","3676152","4495281"
"Population, female","SP.POP.TOTL.FE.IN","South Africa","ZAF","8729079","11422738","14961830","19011720","23287947"
"Population, female","SP.POP.TOTL.FE.IN","South Sudan","SSD","1470823","1828595","2365358","2901195","3362993"
"Population, female","SP.POP.TOTL.FE.IN","Spain","ESP","15663109","17314825","19096341","19828264","20655427"
"Population, female","SP.POP.TOTL.FE.IN","Sri Lanka","LKA","4691268","6056305","7369475","8579700","9413874"
"Population, female","SP.POP.TOTL.FE.IN","St. Kitts and Nevis","KNA","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","St. Lucia","LCA","46694","54066","60285","70335","80088"
"Population, female","SP.POP.TOTL.FE.IN","St. Martin (French part)","MAF","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","St. Vincent and the Grenadines","VCT","42999","47668","51831","54061","53567"
"Population, female","SP.POP.TOTL.FE.IN","Sudan","SDN","3776274","5139458","7240086","10044405","13585671"
"Population, female","SP.POP.TOTL.FE.IN","Suriname","SUR","144973","185990","179557","200523","234064"
"Population, female","SP.POP.TOTL.FE.IN","Sweden","SWE","3751458","4027069","4194068","4330900","4484561"
"Population, female","SP.POP.TOTL.FE.IN","Switzerland","CHE","2747113","3161068","3245381","3437551","3674423"
"Population, female","SP.POP.TOTL.FE.IN","Syrian Arab Republic","SYR","2235647","3132703","4422556","6154287","8109037"
"Population, female","SP.POP.TOTL.FE.IN","Tajikistan","TJK","1071955","1494468","1979307","2664622","3102545"
"Population, female","SP.POP.TOTL.FE.IN","Tanzania","TZA","5139484","6914814","9461031","12865633","17263719"
"Population, female","SP.POP.TOTL.FE.IN","Thailand","THA","13678204","18399221","23656010","28555499","31862217"
"Population, female","SP.POP.TOTL.FE.IN","Timor-Leste","TLS","246245","297812","289644","371446","429593"
"Population, female","SP.POP.TOTL.FE.IN","Togo","TGO","801728","1071577","1376863","1918886","2505442"
"Population, female","SP.POP.TOTL.FE.IN","Tonga","TON","30330","41169","45640","46906","48197"
"Population, female","SP.POP.TOTL.FE.IN","Trinidad and Tobago","TTO","422708","476402","546009","613284","637372"
"Population, female","SP.POP.TOTL.FE.IN","Tunisia","TUN","2094079","2522580","3167303","4093350","4833197"
"Population, female","SP.POP.TOTL.FE.IN","Turkey","TUR","13779698","17552464","22160620","27291457","32096108"
"Population, female","SP.POP.TOTL.FE.IN","Turkmenistan","TKM","821502","1121464","1468346","1873498","2293297"
"Population, female","SP.POP.TOTL.FE.IN","Turks and Caicos Islands","TCA","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Tuvalu","TUV","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","Uganda","UGA","3413918","4750847","6306305","8781444","12155009"
"Population, female","SP.POP.TOTL.FE.IN","Ukraine","UKR","23630204","25675618","27020210","27759807","26285392"
"Population, female","SP.POP.TOTL.FE.IN","United Arab Emirates","ARE","46279","86423","316877","639611","1025573"
"Population, female","SP.POP.TOTL.FE.IN","United Kingdom","GBR","27095934","28651921","28919124","29425515","30198618"
"Population, female","SP.POP.TOTL.FE.IN","United States","USA","91167688","104076122","115822943","127314146","143190463"
"Population, female","SP.POP.TOTL.FE.IN","Uruguay","URY","1268385","1413216","1485534","1601492","1713809"
"Population, female","SP.POP.TOTL.FE.IN","Uzbekistan","UZB","4443584","6219431","8106203","10363225","12392126"
"Population, female","SP.POP.TOTL.FE.IN","Vanuatu","VUT","30822","40192","54586","71224","90421"
"Population, female","SP.POP.TOTL.FE.IN","Venezuela, RB","VEN","3994930","5704565","7588268","9854286","12194217"
"Population, female","SP.POP.TOTL.FE.IN","Vietnam","VNM","16554502","22011010","27656756","34625677","40734157"
"Population, female","SP.POP.TOTL.FE.IN","Virgin Islands (U.S.)","VIR","16388","31749","51547","53200","56183"
"Population, female","SP.POP.TOTL.FE.IN","West Bank and Gaza","PSE","NA","NA","NA","977097","1440710"
"Population, female","SP.POP.TOTL.FE.IN","Yemen, Rep.","YEM","2583152","3141564","4146795","6084551","8834049"
"Population, female","SP.POP.TOTL.FE.IN","Zambia","ZMB","1532453","2100093","2962630","4048769","5323084"
"Population, female","SP.POP.TOTL.FE.IN","Zimbabwe","ZWE","1879029","2596983","3608497","5129207","6215453"
"Population, female","SP.POP.TOTL.FE.IN","Arab World","ARB","45909546","60724221","81550074","110113892","139113662"
"Population, female","SP.POP.TOTL.FE.IN","Caribbean small states","CSS","2095906","2432693","2712909","2984100","3232047"
"Population, female","SP.POP.TOTL.FE.IN","Central Europe and the Baltics","CEB","47158922","50917001","54648398","56856284","55928710"
"Population, female","SP.POP.TOTL.FE.IN","Early-demographic dividend","EAR","480026684","611070349","781015361","996707533","1215065241"
"Population, female","SP.POP.TOTL.FE.IN","East Asia & Pacific","EAS","510976865","634881096","767304101","896984924","1008583001"
"Population, female","SP.POP.TOTL.FE.IN","East Asia & Pacific (excluding high income)","EAP","437601991","548047889","667790996","788066143","892088472"
"Population, female","SP.POP.TOTL.FE.IN","East Asia & Pacific (IDA & IBRD countries)","TEA","431456985","540450781","658713084","777632337","880337124"
"Population, female","SP.POP.TOTL.FE.IN","Euro area","EMU","138054744","148337155","155528643","159851418","164471776"
"Population, female","SP.POP.TOTL.FE.IN","Europe & Central Asia","ECS","350324301","383980195","411120962","434532962","444282350"
"Population, female","SP.POP.TOTL.FE.IN","Europe & Central Asia (excluding high income)","ECA","147038708","165871687","183104277","199993858","203868759"
"Population, female","SP.POP.TOTL.FE.IN","Europe & Central Asia (IDA & IBRD countries)","TEC","164492739","184951257","203732617","222008959","225849029"
"Population, female","SP.POP.TOTL.FE.IN","European Union","EUU","212123580","227540814","238413478","245122646","250104419"
